"Row.names";"Transect";"Site";"Plant";"Lat_decimal";"Long_decimal";"Altitude_masl";"Clay";"Silt";"Sand";"Herbivory";"Veg_cover";"Gram_cover";"Shrub_cover";"H_comosum_cover";"PrecWorldClim";"PETWorldClim";"AIWorldClim";"MeanTempWorldClim";"TmaxWorldClim";"TminWorldClim";"Endophyte";"Sampling_year_biomass_mg";"Spikes";"X.N";"X.C";"d18OCellulose";"d13Ccellu";"d13CcelluAlt";"X.P";"pH";"ec_dS_cm";"PWA.X";"RhizoX.N";"RhizoX.C";"AMF";"iWUEmes";"d18O_rain";"Big_d18O";"d18O_rain_Ap_Sep";"Big_d18O_Ap_Sep";"d18O_rain_Ap_Sep2013";"Big_d18O_Ap_Sep2013";"RH_Average";"Sample";"OTU_Soil_sample_mgr";"seq_depth_from_Otu_table";"R1_seq_depth";"R2_seq_depth";"sum_Otu";"n_seq";"Richness";"Chao1";"ACE";"Shannon";"InvSimpson";"pielou"
"CC027";1;6;3;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;260;5;0.76;39.98;31.92;-27.99;-28.2034;0.18;6.17;0;8.253;0.07;0.79;35.01978425;42.42628233;-9.545988;41.86563687;-10.282383;42.64083237;-11.11047;43.51393022;58.14215;"CC027";220;9096369;10230708;10233053;27693;7992;451;529.269230769231;547.879489790414;4.8185083886399;56.3195056529307;0.78843723134942
"CC028";1;6;4;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;580;8;0.42;41.96;27.39;-26.39;-26.6034;0.15;6.7;0.16;8.227;0.07;0.76;26.35573366;51.41756459;-9.545988;37.29197676;-10.282383;38.06376925;-11.11047;38.93303431;58.14215;"CC028";205;6502349;7414280;7416193;19710;7985;467;524.963414634146;540.362394246281;4.8221169175997;52.6738971854757;0.784552326347152
"CC029";1;6;5;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;400;5;0.77;41.84;31.096;-26.52;-26.7334;0.15;6.34;0;8.358;0.08;0.91;42.02573366;50.6881263;-9.545988;41.03369516;-10.282383;41.80827166;-11.11047;42.68067233;58.14215;"CC029";210;6553264;7147764;7152090;19511;7985;401;432.776470588235;449.733065883779;4.28573500416316;24.4556564437321;0.715008772768994
"CC030";1;6;6;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;1000;5;1.03;41.75;30.43;-26.39;-26.6034;0.2;6.19;0.14;8.61;0.11;1.19;19.35573366;51.41756459;-9.545988;40.36127626;-10.282383;41.13535245;-11.11047;42.00718962;58.14215;"CC030";221;14966198;15522676;15530741;45553;7940;512;635.613636363636;650.643221306701;4.82834222190051;49.4623318463052;0.773980597694519
"CC031";1;6;7;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;175;1;0.32;38.9;28.15;-27.02;-27.2334;0.13;6.18;0;8.412;0.08;0.97;48.53978425;47.88077745;-9.545988;38.05930164;-10.282383;38.83166505;-11.11047;39.70157314;58.14215;"CC031";232;9169632;9780712;9785740;27356;7989;474;557.023255813953;577.668525178629;4.5430173090408;31.079911411902;0.737358292269075
"CC032";1;6;8;-42.79805556;-70.93166667;748;19.88;11.49;68.62;"Intense";50;20;30;2;369;997.5;0.369924812;8.508333333;14.85;2.208333333;0;440;3;0.48;43.72;30.84;-26.01;-26.2234;0.11;6.55;0;8.711;0.11;1.3;59.01978425;53.54865212;-9.545988;40.77522784;-10.282383;41.54961202;-11.11047;42.42179609;58.14215;"CC032";205;12836525;13207861;13218234;38546;7974;423;562;582.945544723451;4.29243503868847;32.9935678170844;0.709801697597092
"CC033";1;7;1;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;414;14.4;0.76;46.02;26.17;-26.37;-26.6263;0.18;6;0;8.075;0.15;1.82;72.34978425;51.31239704;-9.545988;36.06021841;-10.282383;36.83109442;-11.11047;37.69932724;61.86002;"CC033";210;13692662;14630128;14638299;41639;7907;499;569.012345679012;577.734656292614;4.93907282247779;59.5973398814738;0.795008205309422
"CC034";1;7;2;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;158;4;1.1;43.21;25.23;-26.84;-27.0963;0.3;6.11;0;7.921;0.15;1.67;71.01978425;48.6741513;-9.545988;35.1111587;-10.282383;35.88132856;-11.11047;36.74876606;61.86002;"CC034";234;12495463;12882786;12889995;37699;7953;542;648.213483146067;660.790530703957;4.97480419552402;57.2386095543367;0.790245272302448
"CC035";1;7;3;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;499;21;0.8;46.48;28.08;-25.24;-25.4963;0.18;5.78;0;7.901;0.14;1.65;79.35573366;57.64499902;-9.545988;37.98862698;-10.282383;38.76093781;-11.11047;39.63078667;61.86002;"CC035";211;9973871;10672918;10679464;29568;7982;451;501.241379310345;522.251894143848;4.61701390622167;36.2370800269365;0.755467328832585
"CC036";1;7;4;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;416;11;1.45;44.56;28.61;-27.03;-27.2863;0.2;5.84;0;7.575;0.11;1.32;59.98038898;47.60690278;-9.545988;38.52373511;-10.282383;39.29644409;-11.11047;40.16674138;61.86002;"CC036";217;15328991;15740141;15748627;45580;7939;629;831.045977011494;802.697490601736;5.27035800564864;97.3381553729423;0.817853919435402
"CC037";1;7;5;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;400;4;1.52;44.06;28.02;-26.99;-27.2463;0.21;6;0;7.682;0.13;1.43;72.79038898;47.83162133;-9.545988;37.9280487;-10.282383;38.70031446;-11.11047;39.57011255;61.86002;"CC037";231;11319939;12046851;12053743;32907;7989;420;491.25;498.139685022238;4.66242797577091;44.738279040327;0.771892610267901
"CC038";1;7;6;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;319;7;0.78;46.01;30.05;-26.54;-26.7963;0.17;5.76;0;7.413;0.1;1.15;73.94038898;50.3584321;-9.545988;39.97761382;-10.282383;40.75140455;-11.11047;41.62292021;61.86002;"CC038";204;12920832;14180383;14185829;38760;7974;555;659.439252336449;698.348476075833;5.06753552975784;78.0411803259373;0.801956179955047
"CC039";1;7;7;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;413;2;1.49;44.17;26.98;-28.49;-28.7463;0.21;5.47;0;8.179;0.16;1.92;71.98038898;39.39200836;-9.545988;36.87802519;-10.282383;37.64950968;-11.11047;38.51842784;61.86002;"CC039";203;15747252;17055397;17064967;46742;7973;686;840.448;878.856032794723;5.30499629303408;89.5721516204894;0.812294548363989
"CC040";1;7;8;-42.90472222;-71.34027778;787;13.32;11.43;75.25;"Moderate";70;20;50;1;597;972.27;0.614026968;8.125;14.16666667;2.125;1;383;5;1.32;44.33;27.89;-26.6;-26.8563;0.17;5.94;0;8.836;0.2;2.52;56.34978425;50.02165902;-9.545988;37.79679576;-10.282383;38.56896386;-11.11047;39.43865196;61.86002;"CC040";207;21190642;21894260;21906205;63115;7969;600;842.5;814.614573167903;5.02906063669192;53.6684470240847;0.786167881741696
"CC041";1;8;1;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;1282;26;1.05;44.45;27.47;-26.23;-26.4654;0.18;5.97;0;9.668;0.13;1.53;75.01978425;52.20682638;-9.545988;37.3727478;-10.282383;38.14460039;-11.11047;39.01393313;62.48518;"CC041";223;15195720;16728282;16733106;45357;7968;504;636.481481481482;644.6106964327;4.69984764635515;41.686927608477;0.755289681296558
"CC042";1;8;2;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;630;5;0.83;40.79;27.01;-27.82;-28.0554;0.23;5.67;0;10.177;0.17;1.98;67.57084078;43.27436657;-9.545988;36.90831433;-10.282383;37.67982135;-11.11047;38.5487649;62.48518;"CC042";217;18063171;19122479;19127606;54201;7952;582;830.148148148148;803.401918666931;4.86954644528161;55.7052886029962;0.764873800210095
"CC043";1;8;3;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;1128;2;1.24;42.48;29.2;-26.07;-26.3054;0.26;6.02;0;10.13;0.15;1.94;76.65038898;53.10407475;-9.545988;39.11942153;-10.282383;39.89257372;-11.11047;40.7633702;62.48518;"CC043";224;21194245;22738505;22745358;64717;7969;604;738.036036036036;766.499458798999;4.89184280936853;35.69144152372;0.763923811634161
"CC044";1;8;4;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;680;14;0.79;43.64;28.94;-27.69;-27.9254;0.2;5.92;0;9.414;0.11;1.29;73.70084078;44.00579038;-9.545988;38.85691565;-10.282383;39.62987253;-11.11047;40.50044902;62.48518;"CC044";226;18437000;19959422;19966191;56753;7942;442;558.45;586.128059254461;4.17878689036244;18.4381612633349;0.686024348007245
"CC045";1;8;5;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;1260;19;0.72;44.06;29.03;-25.64;-25.8754;0.18;6.12;0;10.188;0.16;1.99;65.01978425;55.51396926;-9.545988;38.94778307;-10.282383;39.72080756;-11.11047;40.5914602;62.48518;"CC045";214;12923822;14575147;14579232;39212;7916;611;735.913043478261;766.163543915436;5.03538243820719;57.1306391645804;0.784926941908205
"CC046";1;8;6;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;180;3;0.69;43.03;27.4;-27.09;-27.3254;0.18;5.86;0.01;9.756;0.14;1.61;70.49136365;47.37905902;-9.545988;37.30207314;-10.282383;38.07387315;-11.11047;38.94314666;62.48518;"CC046";204;15571901;16366528;16369661;47622;7954;680;913.026315789474;952.28720659436;5.25724755567722;91.3392276041291;0.806067579589208
"CC047";1;8;7;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;1323;23;0.62;44.43;29.09;-26.13;-26.3654;0.19;5.69;0;10.489;0.17;2.24;98.68573366;52.76764117;-9.545988;39.00836135;-10.282383;39.78143091;-11.11047;40.65213432;62.48518;"CC047";216;18989088;19938917;19944047;57797;7971;617;800.990566037736;814.689788430778;4.97680101485984;62.7986429520981;0.774615170572718
"CC048";1;8;8;-42.87888889;-71.39111111;768;3.67;26.93;69.4;"Moderate";100;70;30;2;652;972.3;0.670574925;8.075;14.09166667;2.108333333;1;769;11;0.77;44.8;29.54;-25.88;-26.1154;0.16;6.2;0.16;10.002;0.16;1.83;56.49978425;54.16917428;-9.545988;39.46269845;-10.282383;40.23610605;-11.11047;41.1071902;62.48518;"CC048";227;15147554;15507874;15512102;45593;7962;715;905.162790697674;917.023954609468;5.10317897882788;55.9537248380793;0.776469810248916
"CC049";1;9;1;-42.83972222;-71.44638889;945;14.05;19.09;66.87;"Moderate";50;1;50;1;716;949.32;0.754224076;7.2;13.16666667;1.283333333;1;210;4;1.47;45.18;26.67;-25.61;-26.0401;0.21;5.61;0;8.784;0.07;0.83;75.67978425;54.6942349;-8.620464;35.5973295;-9.163192;36.16457494;-9.927388;36.96434742;61.49628;"CC049";214;8163022;9543519;9545683;24263;7894;516;586.6875;608.415002396692;5.02986300380949;67.3160075703891;0.805279703447672
"CC050";1;9;2;-42.83972222;-71.44638889;945;14.05;19.09;66.87;"Moderate";50;1;50;1;716;949.32;0.754224076;7.2;13.16666667;1.283333333;1;350;9;1.15;45.77;30.01;-26.18;-26.6101;0.18;5.7;0;13.771;0.34;4.92;77.31038898;51.49818323;-8.620464;38.96637221;-9.163192;39.53546304;-9.927388;40.33783736;61.49628;"CC050";216;20370677;22136848;22142514;60465;7965;619;797.019417475728;815.484372453929;5.12766810170509;80.3611940449756;0.79769510364033
"CC051";1;9;3;-42.83972222;-71.44638889;945;14.05;19.09;66.87;"Moderate";50;1;50;1;716;949.32;0.754224076;7.2;13.16666667;1.283333333;1;459;8;1.31;45.28;30.92;-25.83;-26.2601;0.25;5.52;0;17.668;0.46;7.3;71.67978425;53.46111449;-8.620464;39.88428504;-9.163192;40.45387866;-9.927388;41.25696187;61.49628;"CC051";218;21610185;23209353;23214867;65836;7958;691;906.054054054054;901.667016582157;5.104651581414;60.9428753442665;0.780749833898841
"CC052";1;9;4;-42.83972222;-71.44638889;945;14.05;19.09;66.87;"Moderate";50;1;50;1;716;949.32;0.754224076;7.2;13.16666667;1.283333333;1;386;1;1.47;43.96;28.6;-27.67;-28.1001;0.26;5.43;0;18.822;0.53;7.93;59.88573366;43.12588395;-8.620464;37.54411166;-9.163192;38.11242345;-9.927388;38.91369939;61.49628;"CC052";230;19722612;20325739;20332006;58533;7956;646;905.884615384615;917.676369610025;4.96347678710098;55.8566070902259;0.767057731304996
"CC053";1;9;5;-42.83972222;-71.44638889;945;14.05;19.09;66.87;"Moderate";50;1;50;1;716;949.32;0.754224076;7.2;13.16666667;1.283333333;1;133;4;1.54;54.88;30.17;-27.23;-27.6601;0.2;5.39;0;14.314;0.37;5.28;73.67978425;45.6009106;-8.620464;39.12776348;-9.163192;39.69694271;-9.927388;40.49944167;61.49628;"CC053";208;15610480;17406106;17409585;46541;7954;609;758.166666666667;786.407424302902;5.16183652765036;86.2340333889452;0.805050347987173
